sim_episode,sim_ev,sim_petrol_car,sim_solar_panel,sim_power_generation,sim_power_consumption,sim_electricity_price,sim_carbon_tax,sim_revenue,sim_expenses,sim_money_in_bank,sim_current_day,sim_max_car,sim_max_electricity,sim_surplus_power
0,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
1,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
2,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
3,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
4,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
5,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
6,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
7,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
8,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
9,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
10,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
11,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
12,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
13,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
14,10,2,0,0,3000,0.4,0.249,30000,25000,20000000,1,3000,10000,0
